Año;Periodo;Territorio;Indicador;Valor;Unidad;Estado dato
2025;T1;Puente de Vallecas;Tasa de variación sobre igual período del año anterior;16.7;Porcentaje;
2025;T1;Retiro;Serie;126.483;Índice;
2025;T1;Retiro;Tasa de variación sobre el periodo anterior;5.1;Porcentaje;
2025;T1;Retiro;Tasa de variación sobre igual período del año anterior;18.3;Porcentaje;
2025;T1;Salamanca;Serie;132.713;Índice;
2025;T1;Salamanca;Tasa de variación sobre el periodo anterior;5.7;Porcentaje;
2025;T1;Salamanca;Tasa de variación sobre igual período del año anterior;20.1;Porcentaje;
2025;T1;San Blas-Canillejas;Serie;125.427;Índice;
2025;T1;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;6.8;Porcentaje;
2025;T1;San Blas-Canillejas;Tasa de variación sobre igual período del año anterior;15.7;Porcentaje;
2025;T1;Tetuán;Serie;125.276;Índice;
2025;T1;Tetuán;Tasa de variación sobre el periodo anterior;2.7;Porcentaje;
2025;T1;Tetuán;Tasa de variación sobre igual período del año anterior;18.4;Porcentaje;
2025;T1;Usera;Serie;128.628;Índice;
2025;T1;Usera;Tasa de variación sobre el periodo anterior;5.0;Porcentaje;
2025;T1;Usera;Tasa de variación sobre igual período del año anterior;21.5;Porcentaje;
2025;T1;Vicálvaro;Serie;124.267;Índice;
2025;T1;Vicálvaro;Tasa de variación sobre el periodo anterior;8.6;Porcentaje;
2025;T1;Vicálvaro;Tasa de variación sobre igual período del año anterior;18.9;Porcentaje;
2025;T1;Villa de Vallecas;Serie;123.612;Índice;
2025;T1;Villa de Vallecas;Tasa de variación sobre el periodo anterior;5.8;Porcentaje;
2025;T1;Villa de Vallecas;Tasa de variación sobre igual período del año anterior;18.3;Porcentaje;
2025;T1;Villaverde;Serie;128.076;Índice;
2025;T1;Villaverde;Tasa de variación sobre el periodo anterior;5.2;Porcentaje;
2025;T1;Villaverde;Tasa de variación sobre igual período del año anterior;17.6;Porcentaje;
2024;T4;Arganzuela;Serie;117.246;Índice;
2024;T4;Arganzuela;Tasa de variación sobre el periodo anterior;1.2;Porcentaje;
2024;T4;Arganzuela;Tasa de variación sobre igual período del año anterior;10.7;Porcentaje;
2024;T4;Barajas;Serie;114.837;Índice;
