P. Turismo y eventos  "Fuente: Registro de Establecimientos Turísticos Comunidad de Madrid
Turismo
Infraestructura hotelera
"1.2.3. Oferta de apartamentos turísticos y hotel-apartamentos en la ciudad de Madrid por Categoría, Tipo de establecimiento y Distrito"
;;;Total;Total;1 estrella / llave;1 estrella / llave;2 estrellas / llaves;2 estrellas / llaves;3 estrellas / llaves;3 estrellas / llaves;4 estrellas / llaves;4 estrellas / llaves;Sin categoría;Sin categoría
;;;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas
2020;Apartamento turístico;07. Chamberí;5;671;1;58;1;10;2;294;1;309;0;0
2020;Apartamento turístico;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2020;Apartamento turístico;09. Moncloa-Aravaca;12;1.095;0;0;2;25;1;120;9;950;0;0
2020;Apartamento turístico;10. Latina;1;52;0;0;1;52;0;0;0;0;0;0
2020;Apartamento turístico;11. Carabanchel;3;86;0;0;1;12;0;0;2;74;0;0
2020;Apartamento turístico;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2020;Apartamento turístico;13. Puente de Vallecas;2;760;0;0;1;26;0;0;1;734;0;0
2020;Apartamento turístico;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2020;Apartamento turístico;15. Ciudad Lineal;0;0;0;0;0;0;0;0;0;0;0;0
2020;Apartamento turístico;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2020;Apartamento turístico;17. Villaverde;1;1;0;0;0;0;1;1;0;0;0;0
2020;Apartamento turístico;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2020;Apartamento turístico;19. Vicálvaro;0;0;0;0;0;0;0;0;0;0;0;0
2020;Apartamento turístico;20. San Blas-Canillejas;10;3.038;1;88;5;311;1;549;3;2.090;0;0
2020;Apartamento turístico;21. Barajas;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;Ciudad de Madrid;13;1.497;4;622;4;464;4;403;1;8;0;0
2020;Hotel-apartamento;01. Centro;2;158;1;92;1;66;0;0;0;0;0;0
2020;Hotel-apartamento;02. Arganzuela;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;03. Retiro;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;04. Salamanca;2;74;0;0;0;0;2;74;0;0;0;0
2020;Hotel-apartamento;05. Chamartín;2;172;1;95;0;0;1;77;0;0;0;0
2020;Hotel-apartamento;06. Tetuán;1;8;0;0;0;0;0;0;1;8;0;0
2020;Hotel-apartamento;07. Chamberí;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;09. Moncloa-Aravaca;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;10. Latina;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;13. Puente de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;15. Ciudad Lineal;2;402;1;150;0;0;1;252;0;0;0;0
2020;Hotel-apartamento;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;17. Villaverde;2;222;0;0;2;222;0;0;0;0;0;0
2020;Hotel-apartamento;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;19. Vicálvaro;1;176;0;0;1;176;0;0;0;0;0;0
2020;Hotel-apartamento;20. San Blas-Canillejas;0;0;0;0;0;0;0;0;0;0;0;0
2020;Hotel-apartamento;21. Barajas;1;285;1;285;0;0;0;0;0;0;0;0
2021;Apartamento turístico;Ciudad de Madrid;122;11.114;6;298;34;1.425;28;2.697;53;6.693;1;1
2021;Apartamento turístico;01. Centro;55;3.096;2;65;19;880;16;1.138;17;1.012;1;1
2021;Apartamento turístico;02. Arganzuela;4;36;1;1;2;34;0;0;1;1;0;0
2021;Apartamento turístico;03. Retiro;2;102;0;0;1;51;0;0;1;51;0;0
